,kode_matkul,kelompok,kode_dosen
0,KP002,AA,90020
1,KP002,AB,80055
2,KP002,AC,10021
3,KP002,AD,60011
4,KP002,AE,90020
5,KP002,AF,120050
6,KP002,AG,120050
7,KP002,AH,130082
8,KP002,AI,10015
9,KP379,AA,50023
10,KP379,AB,790004
11,IF004,AA,130037
12,IF002,AA,30575
13,IF002,AB,900005
14,IF002,AC,990018
15,PG167,AA,100095
16,UM046,AA,910021
17,UM046,AB,910021
18,UM046,AC,140021
19,UM046,AD,910021
20,UM046,AE,140021
21,UM046,AF,910021
22,UM046,AG,970021
23,UM046,AH,990014
24,UM046,AI,910021
25,KP011,AA,170086
26,KP011,AB,980021
27,KP011,AC,980002
28,KP011,AD,980021
29,KP011,AE,170086
30,IF064,AA,170031
31,IF052,AA,990018
32,PG180,AA,170051
33,PG180,AB,170051
34,BA011,AA,70051
35,IF066,AA,30557
36,IF066,AB,30557
37,IF067,AA,40025
38,IF067,AB,40025
39,KP225,AA,960019
40,KP225,AB,120039
41,KP225,AC,100068
42,IF072,AA,50017
43,IF072,AB,930006
44,EK066,AA,39
45,KS001,AA,910021
46,KS001,AB,180069
47,KS001,AC,950005
48,KS001,AD,40027
49,KS001,AE,40027
50,KS001,AF,890006
51,IF009,AA,30549
52,IF009,AB,190044
53,UM038,AA,40027
54,UM038,AB,980016
55,UM038,AC,50077
56,UM038,AD,40027
57,UM038,AE,40027
58,UM038,AF,40027
59,KP041,AA,120080
60,KP041,AB,10010
61,KP041,AC,160015
62,KP041,AD,170051
63,KP041,AE,160015
64,KP041,AF,160015
65,KP041,AG,120080
66,KP041,AH,190014
67,KP371,AA,170031
68,KP371,AB,120103
69,KP371,AC,160015
70,KP371,AD,170086
71,KP371,AE,120103
72,KP372,AA,40004
73,MI028,AA,10013
74,MI028,AB,140004
75,MI031,AA,180053
76,KP373,AA,100059
77,KP373,AB,100059
78,KP043,AA,30557
79,KP043,AB,130073
80,KP043,AC,30557
81,KP043,AD,130073
82,KP374,AA,100059
83,KP374,AB,100059
84,IF065,AA,130005
85,IF065,AB,130005
86,KP045,AA,160015
87,KP375,AA,170031
88,KP375,AB,830009
89,KP375,AC,960012
90,KP047,AA,180069
91,KP047,AB,930008
92,UM049,AA,980016
93,UM049,AB,980016
94,UM049,AC,980016
95,IF058,AA,40058
96,KP376,AA,910008
97,IF015,AA,30582
98,IF015,AB,120048
99,IF015,AC,30582
100,IF015,AD,120077
101,IF015,AE,40029
102,IF015,AF,40060
103,IF015,AG,40029
104,IF015,AH,170029
105,MI128,AA,790007
106,MI057,AA,890018
107,MI057,AB,30560
108,MI057,AC,850015
109,MI057,AD,890018
110,MI057,AE,890018
111,MI070,AA,900016
112,MI070,AB,30576
113,MI070,AC,40029
114,MI070,AD,140004
115,MI070,AE,790007
116,MI070,AF,30576
117,MI070,AG,30576
118,MI070,AH,790007
119,MI070,AI,900016
120,IF063,AA,70023
121,IF063,AB,70023
122,MI073,AA,30001
123,MI073,AB,20042
124,MI073,AC,30001
125,MI073,AD,30001
126,UM013,AA,50023
127,UM013,AB,50023
128,UM013,AC,30581
129,UM013,AD,40043
130,UM013,AE,30581
131,UM013,AF,50023
132,UM013,AG,50023
133,UM013,AH,80062
134,UM013,AI,50023
135,UM013,AJ,30581
136,UM013,AK,970020
137,UM013,AL,80062
138,UM013,AM,140041
139,KP229,AA,190014
140,PG175,AA,140034
141,KP368,AA,960008
142,KP368,AB,180043
143,UM016,AA,100007
144,UM016,AB,100007
145,UM016,AC,140062
146,UM016,AD,140062
147,UM016,AE,100007
148,UM016,AF,100007
149,UM016,AG,140062
150,UM016,AH,140062
151,UM016,AI,100007
152,UM016,AJ,140062
153,UM016,AK,140062
154,UM018,AA,910015
155,UM019,AA,10014
156,UM019,AB,870025
157,UM019,AC,10014
158,UM019,AD,10014
159,UM021,AA,100045
160,UM021,AB,100045
161,UM021,AC,100047
162,UM021,AD,100045
163,UM021,AE,60038
164,UM021,AF,37
165,UM021,AG,20001
166,UM021,AH,37
167,UM021,AI,870025
168,UM021,AJ,20001
169,IF069,AA,170069
170,IF069,AB,930022
171,MM106,AA,850001
172,MM106,AB,40027
173,MM106,AC,40027
174,MM106,AD,70051
175,PG176,AA,30557
176,PG176,AB,50023
177,KP130,AA,20041
178,IF068,AA,170015
179,IF068,AB,20041
180,KP146,AA,930022
181,KP342,AA,930022
182,KP342,AB,20018
183,KP342,AC,20018
184,KP342,AD,20018
185,KP342,AE,170065
186,KP343,AA,120039
187,IF039,AA,30575
188,IF039,AB,960012
189,IF039,AC,99019
190,KP164,AA,140032
191,KP164,AB,30557
192,IF041,AA,30561
193,IF041,AB,30561
194,IF041,AC,960012
195,MI109,AA,970009
196,MI109,AB,850001
197,MI109,AC,970009
198,MI113,AA,970009
199,MI113,AB,850001
200,KP181,AA,40024
201,KP181,AB,930011
202,KP181,AC,40024
203,PG168,AA,100095
204,KP378,AA,30549
205,KM160,AA,120040
206,KM160,AB,80171
207,KP344,AA,130038
208,KP369,AA,130038
209,KP369,AB,10010
210,KP369,AC,120080
211,KP369,AD,10010
212,KP369,AE,130038
213,KP370,AA,130038
214,PG173,AA,960029
215,PG130,AA,160038
216,PG181,AA,130048
217,PG181,AB,110081
218,KP314,AA,110059
219,PG119,AA,70029
220,PG119,AB,120096
221,PG061,AA,90065
222,PG061,AB,60004
223,PG061,AC,10012
224,PG061,AD,190032
225,PG061,AE,10012
226,PG061,AF,110083
227,PG061,AG,80056
228,PG061,AH,190032
229,PG174,AA,140018
230,PG174,AB,140018
231,PG169,AA,910008
232,PG169,AB,910008
233,PG172,AA,110081
234,PG172,AB,110081
235,PG065,AA,90020
236,PG065,AB,50047
237,PG065,AC,100095
238,PG065,AD,40024
239,PG065,AE,130034
240,PG065,AF,100095
241,PG065,AG,20019
242,PG065,AH,120097
243,PG066,AA,980002
