,kode_matkul,kelompok,kapasitas,kode_dosen
0,KP002,AA,45,120048
1,KP002,AB,45,10015
2,KP002,AC,45,980018
3,KP002,AD,45,790004
4,KP002,AE,45,130082
5,KP002,AF,45,10021
6,KP002,AG,45,10021
7,KP002,AH,45,90020
8,KP002,AI,43,10015
9,KP379,AA,29,790004
10,KP379,AB,28,790004
11,IF004,AA,24,110095
12,IF002,AA,45,900005
13,IF002,AB,45,30575
14,IF002,AC,45,990018
15,PG167,AA,32,70024
16,UM046,AA,45,120049
17,UM046,AB,45,970021
18,UM046,AC,45,970021
19,UM046,AD,45,120049
20,UM046,AE,45,140021
21,UM046,AF,45,790005
22,UM046,AG,45,910021
23,UM046,AH,45,970021
24,UM046,AI,44,140021
25,KP011,AA,43,120107
26,KP011,AB,43,120107
27,KP011,AC,43,980021
28,KP011,AD,43,980002
29,KP011,AE,41,980021
30,IF064,AA,32,30575
31,IF052,AA,41,30001
32,PG180,AA,44,110081
33,PG180,AB,44,110081
34,BA011,AA,29,70051
35,IF066,AA,32,20004
36,IF066,AB,32,170086
37,IF067,AA,40,170050
38,IF067,AB,39,40025
39,KP225,AA,34,100068
40,KP225,AB,34,120039
41,KP225,AC,33,120039
42,IF072,AA,44,960019
43,IF072,AB,44,960019
44,EK066,AA,29,39
45,KS001,AA,44,980006
46,KS001,AB,44,180069
47,KS001,AC,44,910021
48,KS001,AD,44,20004
49,KS001,AE,44,20004
50,KS001,AF,43,950005
51,IF009,AA,47,40025
52,IF009,AB,46,30549
53,UM038,AA,45,170050
54,UM038,AB,45,170050
55,UM038,AC,45,50077
56,UM038,AD,45,50077
57,UM038,AE,45,40027
58,UM038,AF,43,50077
59,KP041,AA,46,10010
60,KP041,AB,46,170051
61,KP041,AC,46,120103
62,KP041,AD,46,160015
63,KP041,AE,46,120103
64,KP041,AF,46,960019
65,KP041,AG,46,190014
66,KP041,AH,43,10010
67,KP371,AA,48,120103
68,KP371,AB,48,170031
69,KP371,AC,48,60014
70,KP371,AD,48,170051
71,KP371,AE,48,170086
72,KP372,AA,45,40004
73,MI028,AA,30,10013
74,MI028,AB,29,140004
75,MI031,AA,22,180053
76,KP373,AA,39,100059
77,KP373,AB,39,100059
78,KP043,AA,39,30557
79,KP043,AB,39,130073
80,KP043,AC,39,130073
81,KP043,AD,38,130073
82,KP374,AA,48,30557
83,KP374,AB,48,100059
84,IF065,AA,43,130005
85,IF065,AB,42,130005
86,KP045,AA,46,870026
87,KP375,AA,37,170031
88,KP375,AB,37,960012
89,KP375,AC,37,960012
90,KP047,AA,49,190021
91,KP047,AB,48,30581
92,UM049,AA,44,980016
93,UM049,AB,44,980016
94,UM049,AC,43,980016
95,IF058,AA,26,120105
96,KP376,AA,41,920024
97,IF015,AA,47,120048
98,IF015,AB,47,30582
99,IF015,AC,47,40060
100,IF015,AD,47,120048
101,IF015,AE,47,170029
102,IF015,AF,47,40029
103,IF015,AG,47,100068
104,IF015,AH,46,170029
105,MI128,AA,32,900016
106,MI057,AA,45,850015
107,MI057,AB,45,10013
108,MI057,AC,45,890018
